1,full algebra factors
2,6
3,11
4,1
5,2
6,1
7,1
8,2
9,3
10,covering set
11,10
12,1
13,159
14,4
15,1
16,3
17,4
18,4
19,1
20,2
21,2
22,5
23,covering set
24,3
25,7
26,58
27,1
28,3
29,NA
30,6
31,1
32,full algebra factors
33,2
34,1
35,2
36,1
37,6425
38,4
39,21
40,1
41,2
42,10
43,covering set
44,72
45,1
46,1
47,14
48,6
49,1
50,2
51,2
52,1
53,10
54,24
55,1
56,covering set
57,1
58,3
59,32
60,3
61,1
62,2
63,2
64,5
65,186
66,1
67,1
68,50
69,1
70,1
71,82
72,2
73,covering set
74,1332168
75,1
76,covering set
77,12
78,NA
79,3
80,2
81,1
82,NA
83,2
84,1
85,1
86,6
87,2
88,499
89,covering set
90,1
91,3
92,2
93,2
94,1
95,34
96,10
97,9
98,16
99,1
100,3
101,2
102,28
103,15
104,4
105,1
106,1
107,2
108,7
109,covering set
110,8
111,33
112,1
113,16
114,5
115,23
116,NA
117,4
118,3
119,32
120,14
121,407
122,covering set
123,3
124,1
125,2
126,2
127,5
128,2
129,1
130,1
131,18
132,4
133,3
134,4
135,2
136,139
137,436
138,2
139,1
140,140
141,2
142,covering set
143,12
144,19
145,1
146,2
147,1
148,1579
149,12
150,1
151,1
152,26
153,2
154,5
155,covering set
156,2
157,1
158,12
159,1
160,1
161,202
162,2
163,NA
164,24
165,1
166,5
167,2
168,2
169,1
170,2
171,1
172,1
173,10
174,16
175,covering set
176,10
177,5
178,19
179,4156
180,4
181,1
182,16
183,66055
184,177
185,2
186,22
187,1
188,covering set
189,1
190,1
191,11954
192,1
193,3
194,1396
195,2
196,1
197,4
198,2
199,1
200,4
201,2
202,NA
203,38
204,4
205,9
206,2
207,4
208,covering set
209,8
210,1
211,1073
212,8
213,2
214,1063
215,12
216,1
217,797
218,4
219,NA
220,1
221,covering set
222,1
223,927
224,8
225,5
226,203
227,16
228,4
229,5
230,2
231,18
232,29
233,2
234,1
235,3
236,2
237,1
238,3
239,5156
240,2
241,covering set
242,4
243,full algebra factors
244,3
245,280
246,2
247,161
248,2
249,1
250,99
